ID;Ano do Planejamento;TAG;Unidade;Local;Regional;Classe;"Massa/Volume
(kg/L)";TAG de Controle Mensal;Data Tagueamento;Lote Contrato;Possui Contrato;Nome da Contratada;Nº série (Selo INMETRO);Última recarga;Data Limite Recarga;Planej. Recarga;Mês Planej Recarga;Data Execução Recarga;Mês Exec Recarga;Status
7;2026;AGTR-STLZ-SESMT-001;INT-AGTR-SANTA LUZIA;RECEPÇÃO;SUL;BC-PQS;6;SIM;;LOTE 02;NÃO;LICITAÇÃO;;01/08/2023;31/07/2024;30/12/2025;dezembro;;;Vencido
3;2026;HOSP-BARR-SESMT-001;INT-HOSP-BARREIRINHAS;POSTO DE ENFERMAGEM ALA 02;NORTE;BC-PQS;6;SIM;27/05/2025;LOTE 02;NÃO;LICITAÇÃO;;16/03/2024;16/03/2025;30/11/2025;novembro;;;Vencido
3;2026;HOSP-BARR-SESMT-002;INT-HOSP-BARREIRINHAS;ABRIGO DAS BOMBA DE INCÊNDIO;NORTE;BC-PQS;6;SIM;27/05/2025;LOTE 02;NÃO;LICITAÇÃO;;16/03/2024;16/03/2025;30/11/2025;novembro;;;Vencido
3;2026;HOSP-BARR-SESMT-003;INT-HOSP-BARREIRINHAS;ABRIGO DE CILINDROS DE OXIGÊNIO;NORTE;BC-PQS;6;SIM;27/05/2025;LOTE 02;NÃO;LICITAÇÃO;;16/03/2024;16/03/2025;30/11/2025;novembro;;;Vencido
3;2026;HOSP-BARR-SESMT-004;INT-HOSP-BARREIRINHAS;ABRIGO GLP;NORTE;BC-PQS;6;SIM;27/05/2025;LOTE 02;NÃO;LICITAÇÃO;;16/03/2024;16/03/2025;30/11/2025;novembro;;;Vencido
3;2026;HOSP-BARR-SESMT-005;INT-HOSP-BARREIRINHAS;RECEPÇÃO PEDIÁTRICA;NORTE;BC-PQS;6;SIM;27/05/2025;LOTE 02;NÃO;LICITAÇÃO;;16/03/2024;16/03/2025;30/11/2025;novembro;;;Vencido
3;2026;HOSP-BARR-SESMT-006;INT-HOSP-BARREIRINHAS;RECEPÇÃO PEDIÁTRICA;NORTE;BC-PQS;6;SIM;27/05/2025;LOTE 02;NÃO;LICITAÇÃO;;16/03/2024;16/03/2025;30/11/2025;novembro;;;Vencido
3;2026;HOSP-BARR-SESMT-007;INT-HOSP-BARREIRINHAS;SALÃO DA UTI;NORTE;BC-PQS;6;SIM;27/05/2025;LOTE 02;NÃO;LICITAÇÃO;;16/03/2024;16/03/2025;30/11/2025;novembro;;;Vencido
3;2026;HOSP-BARR-SESMT-008;INT-HOSP-BARREIRINHAS;FARMÁCIA NA PARTE INTERNA;NORTE;ABC-PQS;6;SIM;27/05/2025;LOTE 02;NÃO;LICITAÇÃO;;16/03/2024;16/03/2025;30/11/2025;novembro;;;Vencido
3;2026;HOSP-BARR-SESMT-009;INT-HOSP-BARREIRINHAS;LABORATÓRIO NA PARTE INTERNA;NORTE;ABC-PQS;6;SIM;27/05/2025;LOTE 02;NÃO;LICITAÇÃO;;16/03/2024;16/03/2025;30/11/2025;novembro;;;Vencido
