ÁREA;REGIONAL;RESPONSÁVEL;MACRO PROCESSO;INDICADOR;UNID.;POLARIDADE;FÓRMULA DE CÁLCULO;MÊS;META;REAL
SAÚDE OCUPACIONAL;CONSOLIDADO;FABÍOLA BORGES;"GESTÃO DE EXAMES OCUPACIONAIS 
(OBJETIVO DA QUALIDADE)";ADERÊNCIA A ASOS PERIODICOS;%;MAIOR MELHOR;(QUANTIDADE DE ASOS PREVISTOS / QUANTIDADE DE ASOS REALIZADOS) * 100;jan/26;;
SAÚDE OCUPACIONAL;NORTE;FABÍOLA BORGES;"GESTÃO DE EXAMES OCUPACIONAIS 
(OBJETIVO DA QUALIDADE)";ADERÊNCIA A ASOS PERIODICOS;%;MAIOR MELHOR;(QUANTIDADE DE ASOS PREVISTOS / QUANTIDADE DE ASOS REALIZADOS) * 100;jan/26;;
SAÚDE OCUPACIONAL;LESTE;ALANA  RODRIGUES;"GESTÃO DE EXAMES OCUPACIONAIS 
(OBJETIVO DA QUALIDADE)";ADERÊNCIA A ASOS PERIODICOS;%;MAIOR MELHOR;(QUANTIDADE DE ASOS PREVISTOS / QUANTIDADE DE ASOS REALIZADOS) * 100;jan/26;;
SAÚDE OCUPACIONAL;CENTRO;JULIANA CASTRO;"GESTÃO DE EXAMES OCUPACIONAIS 
(OBJETIVO DA QUALIDADE)";ADERÊNCIA A ASOS PERIODICOS;%;MAIOR MELHOR;(QUANTIDADE DE ASOS PREVISTOS / QUANTIDADE DE ASOS REALIZADOS) * 100;jan/26;;
SAÚDE OCUPACIONAL;SUL;JONATHAN ALVES;"GESTÃO DE EXAMES OCUPACIONAIS 
(OBJETIVO DA QUALIDADE)";ADERÊNCIA A ASOS PERIODICOS;%;MAIOR MELHOR;(QUANTIDADE DE ASOS PREVISTOS / QUANTIDADE DE ASOS REALIZADOS) * 100;jan/26;;
SAÚDE OCUPACIONAL;CONSOLIDADO;FABÍOLA BORGES;"GESTÃO DE EXAMES OCUPACIONAIS 
(OBJETIVO DA QUALIDADE)";ADERÊNCIA A ASOS ADMISSIONAIS;%;MAIOR MELHOR;(QUANTIDADE DE ASOS ADMISSIONAIS REALIZADOS / QUANTIDADE DE PESSOAS ADMITIDAS) * 100;jan/26;;
SAÚDE OCUPACIONAL;NORTE;FABÍOLA BORGES;"GESTÃO DE EXAMES OCUPACIONAIS 
(OBJETIVO DA QUALIDADE)";ADERÊNCIA A ASOS ADMISSIONAIS;%;MAIOR MELHOR;(QUANTIDADE DE ASOS ADMISSIONAIS REALIZADOS / QUANTIDADE DE PESSOAS ADMITIDAS) * 100;jan/26;;
SAÚDE OCUPACIONAL;LESTE;ALANA  RODRIGUES;"GESTÃO DE EXAMES OCUPACIONAIS 
(OBJETIVO DA QUALIDADE)";ADERÊNCIA A ASOS ADMISSIONAIS;%;MAIOR MELHOR;(QUANTIDADE DE ASOS ADMISSIONAIS REALIZADOS / QUANTIDADE DE PESSOAS ADMITIDAS) * 100;jan/26;;
SAÚDE OCUPACIONAL;CENTRO;JULIANA CASTRO;"GESTÃO DE EXAMES OCUPACIONAIS 
(OBJETIVO DA QUALIDADE)";ADERÊNCIA A ASOS ADMISSIONAIS;%;MAIOR MELHOR;(QUANTIDADE DE ASOS ADMISSIONAIS REALIZADOS / QUANTIDADE DE PESSOAS ADMITIDAS) * 100;jan/26;;
SAÚDE OCUPACIONAL;SUL;JONATHAN ALVES;"GESTÃO DE EXAMES OCUPACIONAIS 
(OBJETIVO DA QUALIDADE)";ADERÊNCIA A ASOS ADMISSIONAIS;%;MAIOR MELHOR;(QUANTIDADE DE ASOS ADMISSIONAIS REALIZADOS / QUANTIDADE DE PESSOAS ADMITIDAS) * 100;jan/26;;
