ALTERDATA;NORMALIZADO;ITEM;PCG;QUANTIDADE
ADVOGADO(A);ADVOGADO;SEM EPI;SEM MAPEAMENTO NO PCG;0
AGENTE DE PORTARIA;AGENTE DE PORTARIA;Máscara N95;PCG UNIVERSAL;1
ANALISTA ADMINISTRATIVO;ANALISTA ADMINISTRATIVO;Máscara N95;PCG UNIVERSAL;1
ANALISTA CSL;ANALISTA CSL;SEM EPI;SEM MAPEAMENTO NO PCG;0
ANALISTA DE ABASTECIMENTO;ANALISTA DE ABASTECIMENTO;Máscara N95;CENTRAL DE ABASTECIMENTO HOSPITALAR - CAHOSP;1
ANALISTA DE ATENDIMENTO;ANALISTA DE ATENDIMENTO;SEM EPI;SEM MAPEAMENTO NO PCG;0
ANALISTA DE CONTABILIDADE;ANALISTA DE CONTABILIDADE;SEM EPI;SEM MAPEAMENTO NO PCG;0
ANALISTA DE CONTRATACAO;ANALISTA DE CONTRATAÇÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
ANALISTA DE CONTRATOS DE GESTAO;ANALISTA DE CONTRATOS DE GESTÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
ANALISTA DE ENGENHARIA;ANALISTA DE ENGENHARIA;SEM EPI;SEM MAPEAMENTO NO PCG;0
ANALISTA DE EXPEDIÇÃO;ANALISTA DE EXPEDIÇÃO;Máscara N95;PCG UNIVERSAL;1
ANALISTA DE GESTAO INTEGRADA;ANALISTA DE GESTÃO INTEGRADA;SEM EPI;SEM MAPEAMENTO NO PCG;0
ANALISTA DE MEIO AMBIENTE;ANALISTA DE MEIO AMBIENTE;SEM EPI;SEM MAPEAMENTO NO PCG;0
ANALISTA DE OUVIDORIA;ANALISTA DE OUVIDORIA;SEM EPI;SEM MAPEAMENTO NO PCG;0
ANALISTA DE RECEBIMENTO E EXPEDIÇÃO;ANALISTA DE RECEBIMENTO E EXPEDIÇÃO;Máscara N95;PCG UNIVERSAL;1
ANALISTA DE SEGURANCA DO TRABALHO;ANALISTA DE SEGURANÇA DO TRABALHO;SEM EPI;SEM MAPEAMENTO NO PCG;0
ANALISTA DE TESTE;ANALISTA DE TESTE;SEM EPI;SEM MAPEAMENTO NO PCG;0
ANALISTA DE TI;ANALISTA DE TI;Máscara N95;PCG UNIVERSAL;1
ANALISTA FINANCEIRO;ANALISTA FINANCEIRO;SEM EPI;SEM MAPEAMENTO NO PCG;0
ANALISTA JURIDICO;ANALISTA JURÍDICO;SEM EPI;SEM MAPEAMENTO NO PCG;0
ANALISTA JURIDICO CSL;ANALISTA JURÍDICO CSL;SEM EPI;SEM MAPEAMENTO NO PCG;0
ANALISTA TECNICO (A) DE RESIDENCIA;ANALISTA TÉCNICO DE RESIDÊNCIA;Máscara N95;PCG UNIVERSAL;1
ARQUITETO URBANISTA;ARQUITETO URBANISTA;SEM EPI;SEM MAPEAMENTO NO PCG;0
ARQUITETO(A) DE PLANEJAMENTO;ARQUITETO DE PLANEJAMENTO;SEM EPI;SEM MAPEAMENTO NO PCG;0
ARTESÃO;ARTESÃO;Máscara N95;PCG UNIVERSAL;1
ARTESÃO;ARTESÃO;Luva Nitrílica;PCG UNIVERSAL;1
ASSESSOR (A) ADMINISTRATIVO N1;ASSESSOR ADMINISTRATIVO I;Máscara N95;PCG UNIVERSAL;1
ASSESSOR (A) ADMINISTRATIVO N2;ASSESSOR ADMINISTRATIVO II;Máscara N95;PCG UNIVERSAL;1
ASSESSOR (A) ADMINISTRATIVO N3;ASSESSOR ADMINISTRATIVO III;Máscara N95;PCG UNIVERSAL;1
ASSESSOR (A) CLINICO N1;ASSESSOR CLÍNICO I;SEM EPI;SEM MAPEAMENTO NO PCG;0
ASSESSOR (A) CLINICO N2;ASSESSOR CLÍNICO II;SEM EPI;SEM MAPEAMENTO NO PCG;0
ASSESSOR (A) CLINICO N3;ASSESSOR CLÍNICO III;SEM EPI;SEM MAPEAMENTO NO PCG;0
ASSESSOR (A) DA DIRETORIA ADM N2;ASSESSOR DA DIRETORIA ADM II;SEM EPI;SEM MAPEAMENTO NO PCG;0
ASSESSOR (A) DE COMUNICAÇÃO N1;ASSESSOR DE COMUNICAÇÃO I;SEM EPI;SEM MAPEAMENTO NO PCG;0
ASSESSOR (A) DE COMUNICAÇÃO N2;ASESSOR DE COMUNICAÇÃO II;SEM EPI;SEM MAPEAMENTO NO PCG;0
ASSESSOR (A) DE CONT INTERNO FIN N1;ASESSOR DE CONTROLE INTERNO FINANCEIRO I;SEM EPI;SEM MAPEAMENTO NO PCG;0
ASSESSOR (A) DE DESENVOLVIMENTO N1;ASSESSOR DE DESENVOLVIMENTO I;SEM EPI;SEM MAPEAMENTO NO PCG;0
ASSESSOR (A) DE GOVERNANÇA N1;ASSESSOR DE GOVERNANÇA I;SEM EPI;SEM MAPEAMENTO NO PCG;0
ASSESSOR (A) DE PLANEJAMENTO N1;ASSESSOR DE PLANEJAMENTO I;SEM EPI;SEM MAPEAMENTO NO PCG;0
ASSESSOR (A) DE PLANEJAMENTO N2;ASSESSOR DE PLANEJAMENTO II;SEM EPI;SEM MAPEAMENTO NO PCG;0
ASSESSOR (A) DO GABINETE N1;ASSESSOR DE GABINETE I;SEM EPI;SEM MAPEAMENTO NO PCG;0
ASSESSOR (A) DO GABINETE N2;ASSESSOR DE GABINETE II;SEM EPI;SEM MAPEAMENTO NO PCG;0
ASSESSOR (A) DO GABINETE N3;ASSESSOR DE GABINETE III;SEM EPI;SEM MAPEAMENTO NO PCG;0
ASSESSOR (A) FINANCEIRO N1;ASSESSOR FINANCEIRO I;SEM EPI;SEM MAPEAMENTO NO PCG;0
ASSESSOR (A) FINANCEIRO N2;ASSESSOR FINANCEIRO II;SEM EPI;SEM MAPEAMENTO NO PCG;0
ASSESSOR (A) JURIDICO N1;ASSESSOR JURÍDICO I;SEM EPI;SEM MAPEAMENTO NO PCG;0
